2025-10-06 10:01:17.898 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - --getData()
2025-10-06 10:01:17.898 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - externalDtoToto:value for toto
2025-10-06 10:01:17.898 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - --doSomething()
2025-10-06 10:01:17.898 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.domain.PigBizServiceImpl - --test()
2025-10-06 10:01:17.899 [http-nio-8080-exec-2] INFO  c.t.t.s.t.a.service.PigServiceImpl - --getPigs()
2025-10-06 10:01:17.904 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.exposition.PigController - --getPigs()
2025-10-06 10:01:27.766 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.exposition.PigController - ++getPigs()
2025-10-06 10:01:27.767 [http-nio-8080-exec-3] INFO  c.t.t.s.t.a.service.PigServiceImpl - ++getPigs()
2025-10-06 10:01:27.767 [http-nio-8080-exec-3] INFO  c.t.t.s.t.a.service.PigServiceImpl - $>>> pigs=[com.touin.thierry.sb.test.application.dto.PigDTO@7f993186, com.touin.thierry.sb.test.application.dto.PigDTO@7ba6aaad, com.touin.thierry.sb.test.application.dto.PigDTO@3ea43bbd, com.touin.thierry.sb.test.application.dto.PigDTO@3973559d]
2025-10-06 10:01:27.768 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.domain.PigBizServiceImpl - ++test()
2025-10-06 10:01:27.768 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - ++doSomething()
2025-10-06 10:01:27.768 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - ++getFeatureEnabled()
2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - --getFeatureEnabled()
2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - features NOT actived !
2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - ++getPostalCodeServiceEndpoint()
2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - --getPostalCodeServiceEndpoint()
2025-10-06 10:01:27.769 [http-nio-8080-exec-3] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - PostalCodeServiceEndpoint:http://mon-service-prod.fr/xxxx
